Artist(s),song,text,Genre,Album,emotion,Energy,Danceability,Positiveness,Acousticness,Instrumentalness,Speechiness,Liveness,Tempo,Loudness (db),Popularity,track_id
Now United,Paradise,"[Verse 1: Any] Take, me to the border Every corner, edge of the Earth We, won't need a dollar Just each other, for what it's worth  [Pre-Chorus: Sabina] Chase the sun, oh, yeah, yeah, yeah Having fun, oh, yeah, yeah, yeah Forever young and that will never change  [Chorus: Any with Bailey, Any with Bailey & Noah] Take me, we can't wait no longer Anywhere with you just feels like paradise Feels like paradise Take me away and hold me closer Anywhere with you just feels like paradise Feels like paradise  [Post-Chorus: Any, Sabina, Heyoon & Noah] La la, la la, la la, la la La la, la la, la la, la la La la, la la, la la, la la La la, la la, la la, la la [Verse 2: Heyoon, Heyoon & Bailey] Time, it doesn't matter When we're together, we never rush Fill, my heart with laughter Ever after, the greatest love  [Pre-Chorus: Savannah & Bailey with Sabina, Savannah with Sabina] Chase the sun, oh, yeah, yeah, yeah Having fun, oh, yeah, yeah, yeah Forever young and that will never change  [Chorus: Any with Bailey, Any with Bailey & Noah, Sabina] Take me, we can't wait no longer Anywhere with you just feels like paradise Feels like paradise Take me away and hold me closer Anywhere with you just feels like paradise Feels like paradise (Paradise)  [Post-Chorus: Any, Sabina, Heyoon & Noah] La la, la la, la la, la la La la, la la, la la, la la La la, la la, la la, la la La la, la la, la la, la la  [Bridge: Sabina, Sabina & Noah] We can be in Italy or we can be in France As long as you're with me and you're holding my hand We can be anywhere As long as I'm with you We can be in South Tokyo, Japan Or somewhere in Jamaica soaking up on fresh sand We can be anywhere As long as I'm with you [Chorus: Any with Bailey, Any with Bailey & Noah, Any, Sabina] Take me, we can't wait no longer Anywhere with you just feels like paradise (Feels like paradise) Feels like paradise (Fels like paradise, oh woah) Take me away and hold me closer (Me closer) Anywhere with you just feels like paradise (Feels like paradise) Feels like paradise (Feels like paradise) (Paradise)  [Post-Chorus: Any, Sabina, Heyoon & Noah, Any, Sabina, Bailey, Heyoon & Noah] La la, la la, la la, la la La la, la la, la la, la la La la, la la, la la, la la La la, la la, la la, la la",hip hop,Paradise,joy,84,80,59,10,0,5,10,101,-3.54db,37,619
Lorde,Mood Ring,"[Verse 1] I'm tryna blow bubbles, but inside Can't seem to fix my mood Today, it's as dark as my roots If I, if I ever let them grow out (Ah-ah) Now all of my oceans have riptides Can't seem to find what's wrong The whole world is letting me down Don't you think the early 2000s seem so far away? (Ay-ay-ay-ay)  [Pre-Chorus] Ladies, begin your sun salutations Transcendental in your meditations (Love and light) You can burn sage and I'll cleanse the crystals We can get high, but only if the wind blows (Blows just right)  [Chorus] I can't feel a thing I keep looking at my mood ring Tell me how I'm feeling Floating away, floating away [Verse 2] I'm tryna get well from the inside Plants and celebrity news, all the vitamins I consume Let's fly somewherе eastern, they'll havе what I need (They'll have what I need) Let's go  [Pre-Chorus] Ladies, begin your sun salutations Pluto in Scorpio generation (Love and light) You can burn sage and I'll cleanse the crystals We can get high, but only if the wind blows (Blows just right, ri-ri-ri-right)  [Chorus] I can't feel a thing I keep looking at my mood ring Tell me how I'm feeling Floating away, floating away All the sad girls sing We'll keep dancing 'til the mood rings Tell us how we're feeling Floating away, floating away  [Outro] Take me to some kinda— Take me to some kinda— Take me to some kinda place (Anywhere) Watch the sun set, look back on my life (Take me to some kinda—) I just wanna know, will it be alright? (Take me to some kinda—) Take me to some kinda place (Anywhere)","synthpop,pop,indie pop",Solar Power,sadness,48,68,37,42,0,7,24,95,-10.44db,56,620
Juice WRLD,Left Me Cold,"Lyrics from Snippets  [Verse] ...why you so hypocritical  [Chorus] And I can't let you go Like why you left me cold? Why you left me cold? Yeah, I can't let you go I can't let you go Why you left me cold? (Left me cold) Why you left me cold? (Why you left me cold?) Yeah, I can't let you go I can't let you go Why you left me cold? (Left me cold) Why you left me cold? (Why you left me cold?) ...  [Verse] ...I confess that Girl you might be up to something I know how it feels to be so...","trap,hip hop,rap",Legends Never Die,anger,61,65,8,0,0,13,27,150,-6.13db,76,621
"Ebenezer,A Boogie Wit da Hoodie",When I Call Em,"[Pre-Chorus : Ebenezer] They say don't let the money change you I still kick it with the same crew All my niggas poppin' they my day ones You kinda mad because it ain't you We get it poppin' (dun know) And we get it poppin' (dun know) And we keep it poppin' (dun know) That we keep it poppin'  [Chorus : Ebenezer] Loyalty that's what we call it So they come when I call 'em So they come when I call 'em So they come when I call 'em Loyalty that's what we call it So they come when I call 'em So they come when I call 'em So they come when I call 'em  [Verse 1 : Ebenezer] Trust, find it hard to trust Money and these drugs made these bitches fall in love Am I on the Northside, am I with the dope boys? Am I with the ballers? Girl, you know it's your choice 'Cause I'm, tryna finesse on you you ain't even gotta ask twice But I need loyalty, girl you gotta act right So pop it, pop it, pop it, pop it Please don't make assumptions, you know I got options [Pre-Chorus : Ebenezer] They say don't let the money change you I still kick it with the same crew All my niggas poppin' they my day ones You kinda mad because it ain't you We get it poppin' (dun know) And we get it poppin' (dun know) And we keep it poppin' (dun know) That we keep it poppin'  [Chorus : Ebenezer] Loyalty that's what we call it So they come when I call 'em So they come when I call 'em So they come when I call 'em Loyalty that's what we call it So they come when I call 'em So they come when I call 'em So they come when I call 'em  [Verse 2: A Boogie Wit Da Hoodie] Loyalty, loyalty, loyalty, loyalty, loyalty When you come through I be taking your phone, 'cause I don't need no one recording me You said that you wanted me all alone but you brought your friend and she all on me Fuck it we all could just get in the zone, I could turn sex to a melody I know you wanted a nigga to save you, too bad that it ain't you I know you wonderin' when I'mma swing through, don't feel like I hate you I can make my schedule flexible, 'cause just the way you neck me is incredible I can put you on a flight to Mexico, are you loyal to me 'cause I never know [Pre-Chorus : Ebenezer] They say don't let the money change you I still kick it with the same crew All my niggas poppin' they my day ones You kinda mad because it ain't you We get it poppin' (dun know) And we get it poppin' (dun know) And we keep it poppin' (dun know) That we keep it poppin'  [Chorus : Ebenezer] Loyalty that's what we call it So they come when I call 'em So they come when I call 'em So they come when I call 'em Loyalty that's what we call it So they come when I call 'em So they come when I call 'em So they come when I call 'em",hip hop,When I Call Em,anger,51,86,58,28,0,8,9,130,-6.05db,21,622
Arrows in Action,This Time,"[Verse 1] I liked the way you kept me 'round as your weakness Keychains and flowers couldn't fix what I was Silence and habit made me think we could keep this away From the fray, left with nothing to say My mama said those who don't listen will feel this What doesn't kill me makes me worse than I was If I close my eyes, then it still feels like the first kiss Around for the sound, but I'm bringing you down  [Chorus] Maybe this time was the last time I think we're running out of luck Maybe enough was just too much Thinking this time it could be fine I think I'm falling out of touch My words are always off the cuff, yeah Yeah-yeah, yeah-yeah, yeah-yeah  [Verse 2] Keep changing faces just to keep this a secret Heavy sedation makes me feel like we're fine I carved your name into my brain like a deep cut It bleeds, then recedes, I give up, I concede Breaking your trust, pretending we didn't need this I dance around you just to lighten the mood Colorful phrasing couldn't help, we're defeated Around for the sound, but I'm bringing ya down [Chorus] Maybe this time was the last time I think we're running out of luck Maybe enough was just too much Thinking this time it could be fine I think I'm falling out of touch My words are always off the cuff, yeah Yeah-yeah, yeah-yeah, yeah-yeah  [Bridge] Nothing is quite the same But we just keep avoiding this Speak slowly, couldn't know me We won't confront the past Despite the fact that if we don't Then this won't last  [Chorus] Maybe this time was the last time I think we're running out of luck Maybe enough was just too much Thinking this time it could be fine I think I'm falling out of touch My words are always off the cuff Maybe this time was the last time I think we're running out of luck Maybe enough was just too much Thinking this time it could be fine I think I'm falling out of touch My words are always off the cuff, yeah Yeah-yeah, yeah-yeah, yeah-yeah",hip hop,This Time,joy,93,69,82,3,0,5,7,128,-3.55db,45,623
Frank Sinatra,Let Me Try Again,"I know I said that I was leaving But I just, couldn't say goodbye It was only self decieving To walk away from someone Who means everything in life to you  You learn from every lonley day Ive learned and Ive come back to stay  Let me try again Let me try again Think of all we had before Let me try once more We can have it all You and I again Just forgive me Or ill die Please let me try again  I was such a fool to doubt you To try and go it all alone There's no sense to life without you Now all i do is just exist And think about the chance ive missed To beg is not an easy task But pride is such a foolish mask Let me try again Let me try again Think of all we had before Let me try once more We can have it all You and I again Just forgive me Or ill die Please let me try again","pop,jazz,swing",Ol' Blue Eyes Is Back,sadness,35,20,48,66,0,3,11,86,-15db,51,624
Ten Fé,Twist Your Arm,"Is there another that you think you want Is there another, my darling Come on and tell me anything you want Come on and tell me who you're thinking of 'cause I cannot hold this load You know I cannot hold this load  And I give you love unconditionally I give you love, what do you give me I give you love, so I don't understand Why I gotta twist your arm To hold your hand  Is there a reason we no longer talk Is there a reason I'm starving Come on and tell me what you think you want Come on and let me hear your voice again But I cannot hold this note No I cannot hold this note  And I give you love unconditionally I give you love, what do you give me I give you love, but I don't understand Why I gotta twist your arm To hold your hand Something to hold on to Something to hold on to Something to hold on to Something to hold on to  Know I'll see that light again Come on let's shine that light again Said I'll see that light again Said I'll see that light again Know I'll see that light again Come on and shine that light again  Until you give me love unconditionally 'til you give me love, like we used to be Until you give me love, so I understand I gotta twist your arm To hold your hand Twist your arm To be your man  Something to hold on to Something to hold on to Something to hold on to Something to hold on to Something to hold on to Something to hold on to",hip hop,Hit the Light,love,84,53,39,5,0,8,34,89,-6db,17,625
The Doors,Soul Kitchen,"[Verse 1] Well, the clock says it's time to close now I guess I'd better go now I'd really like to stay here all night The cars crawl past all stuffed with eyes Street lights shed their hollow glow Your brain seems bruised with numb surprise Still one place to go Still one place to go  [Chorus] Let me sleep all night in your soul kitchen Warm my mind near your gentle stove Turn me out and I'll wander baby Stumblin' in the neon groves  [Verse 2] Well, your fingers weave quick minarets Speak in secret alphabets I light another cigarette Learn to forget, learn to forget Learn to forget, learn to forget [Chorus] Let me sleep all night in your soul kitchen Warm my mind near your gentle stove Turn me out and I'll wander baby Stumblin' in the neon groves  [Outro] Well, the clock says it's time to close now I know I have to go now I really want to stay here All night All night All night","rock,hard rock,psychedelic rock",The Doors,sadness,44,68,61,33,0,4,5,116,-7.38db,61,626
Deep Purple,Space Truckin',We had a lot of luck on Venus    We always had a ball on Mars    Meeting all the groovey people    We've rocked the Milky Way so far    We danced around with Borealice    We're space truckin' round the the stars    Come on let's go Space Truckin'        Remember when we did the moonshot    And Pony Trekker led the way    We'd move to the Canaveral moonstop    And everynaut would dance and sway    We got music in our solar system    We're space truckin' round the stars    Come on let's go Space Truckin'        The fireball that we rode was moving    But now we've got a new machine    Yeah Yeah Yeah Yeah the freaks said    Man those cats can really swing    They got music in their solar system    They've rocked around the Milky Way    They dance around the Borealice    They're Space Truckin' everyday    Come on      ,"rock,progressive rock,heavy metal",Machine Head (Remastered),joy,88,62,71,3,78,4,24,129,-9.06db,52,627
"Hillsong UNITED,TAYA",Holy Holy Holy,[Verse 1] Holy holy holy Lord God Almighty Early in the morning Our song shall rise to Thee Holy holy holy Merciful and mighty God in three persons Blessed Trinity  [Verse 2] Holy holy holy Lord God Almighty All Thy works shall Praise Thy name In earth and sky and sea Holy holy holy Merciful and mighty God in three persons Blessed Trinity [Outro] 4x Holy we cry holy,hip hop,(in the meantime),joy,24,32,10,66,0,3,7,70,-11.88db,34,628
"Frank Sinatra,Bobby Tucker Singers",If You Are But a Dream,If you are but a dream I hope I never waken It's more than I could bear To find that I'm forsaken  If you're a fantasy Then I'm content to be In love with lovely you And pray my dream comes true  I long to kiss you But I would not dare I'm so afraid that You may vanish in the air  So darling If our romance would break up I hope I never wake up If you are but a dream,hip hop,The Columbia Years (1943-1952): The Complete Recordings: Volume 1,joy,23,21,14,92,12,3,27,87,-15.96db,27,629
Dead by April,In My Arms,"[Verse 1] Don't look down, don't look back, I am beside you Close your eyes, know I'm here I know it's hard to let go all that defines you You feel like you'll never be whole again  [Pre-Chorus] We will find a way to erase the past Stay with me, stay with me  [Chorus] In my arms you'll be fine, I'll never let go All you've lost will come again, just stay here with me Never look back, never again, it's over Everything ends here in my arms  [Verse 2] Don't give in, don't let your memories break you Let me take you away from here  [Pre-Chorus] We will find a way to make this last Stay with me, stay with me [Chorus] In my arms you'll be fine, I'll never let go All you've lost will come again, just stay here with me Never look back, never again, it's over Everything ends here in my arms  [Bridge] I'll be here forever Everything ends here in my arms I'll be here forever Everything ends in my arms I'll be here forever, forever Forever  [Chorus] In my arms you'll be fine, I'll never let go (In my arms you'll be fine) All you've lost will come again, just stay here with me (All you've lost will come again) Never look back, never again, it's over (Never look back, never again) Everything ends here in my arms","melodic death metal,metalcore",Dead by April (Bonus Version),joy,96,38,15,0,0,6,31,160,-3.06db,19,630
"Nils Brown,Michiel Schrey,Sean Dagher,Richard Irwin,Nelson Carter,David Gossage,Assassin's Creed",Down Among the Dead Men,"[Intro] Down, down, down, down Down, down, down, down  [Verse 1] Here's a health to the King and a lasting peace To faction end, to wealth increase Come, let us drink while we have breath For there's no drinking after death  [Chorus] And he that will this health deny Down among the dead men, down among the dead men Down, down, down, down Down among the dead men let him lie!  [Verse 2] In smiling Bacchus' joy I'll roll Deny no pleasures to my soul Let Bacchus' health 'round briskly move For Bacchus is the friend of love [Chorus] And he that would this health deny Down among the dead men, down among the dead men Down, down, down, down Down among the dead men let him lie!  [Verse 3] May love and wine their rights maintain And their united pleasures reign While Bacchus' treasure crowns the board We'll sing that joy that both afford  [Chorus] And they that won't with us comply Down among the dead men, down among the dead men Down, down, down, down Down among the dead men let him lie!",hip hop,"Assassin's Creed 4: Black Flag (Sea Shanty Edition, Vol. 2) [Original Game Soundtrack]",joy,43,76,6,71,1,4,10,106,-5.72db,29,631
"Ghetts,Brutal,Griminal",Threats,"[Verse 1: Ghetto] I don't take threats lightly Don't think Ghetts might be a prick for a second I stick with a weapon Make man think ""shit."" when I get them I'm in the bits with the felons I wear fully equipped I got my bally rolled up like say it's a woolly hat You ain't a big man bully in this I'm fully a risk to anyone around Everyone of them drown, I'm pulling a stick Who said I'd be soon dead? Remind yourselves, I'm live and well, you tried, you failed I stab man in the chest this time I quickly lose breath I heard I'm a dead man walking It's nothing important, they ain't talking me I'ma run up on a man and blaze him in his face Take his possessions, now I got a dead man's fortune When threats are made I'll get my blade Head for the door Head for the war I don't wanna see nothing but heads on the floor Red in my eyes I'm like Mike when he's mad I'll bite in a fight, stick a knife in the abs I got the 9 in the man bag Cost me a bag of sand You ain't badder than the man I am I make niggas move on the same day like they're living in a caravan I kill them with the Magnum, there could be a bag of them But one of me's like 20 of them SO Show me the one with the biggest mouth I'll take this nigga out, swing the stick around Be better now, you don't know a bit about me I'm rowdy, I'll run up in your county And run away with the cats like I'm Alfie proudly [Hook: Ghetto] When threats are made I'll get my blade Head for the door Head for the war I don't wanna see nothing but heads on the floor Just know none of your threats are ignored (X2)  [Verse 2: Griminal] I been barring again Man just gonna start parring again So many MCs biting my content Please don't ask why I'm starting again What? Me haffe start warring again Who be the best they're asking again Me be better than you lol Now I'm back with the bars who's laughing again That's why I ain't sparring again Tell a boy once, don't warn him again Told you before that it's not just bars Now it's hungry season, I'm starving again Think that you're fire, start sparking again Showerman time, not bathing again Gave you the ball, had a chance for a shot Now it's back in my court, I ain't passing again Like, like some man are biting again Don't realise what they're writing again Man wanna copy the shit that I write Now it's got Griminal on a hype ting again One or two guys I ain't liking again Jammer don't want me to start writing again You're not heavy Marcus banged you already What? Wanna fight him again? Bitch boy when I start writing again Man's gonna shit like I'm slicing again Watch how I piss on the bass and the treble Money's little, I'm rising again See, see, now I'm wilding again Don't wanna hear Double O rhyming again What the rasscleet My men are N.A.S.T.Y Nobody ask who I'm in again! [Hook x2]  [Verse 3: Brutal] No matter how many threats I've never been wet None of you guys have stepped to me yet Can't step to me, step to B I'll be on my ones, I'll step to three Who's telling you lies? You need to revise before you're testing me And there's no cheat, I can't be beat All cos I invest in keys All cos I invest in drugs This boy will be requesting blood Just tempt me, I'll press 10 G Next thing you'll be dressed in slugs Or you might get undressed and plugged It depends how much I spend I'm a MC but I was born a thug Fuck threatening me I warned you cuz!  [Hook x2]",hip hop,Freedom of Speech,anger,68,56,58,25,0,41,12,143,-12.16db,11,632
TJ & Huri,No Cuffin,"[Hook: T-Wayne] The same shit that you loving The same shit that I’m cutting The same shit that you kissing The same shit that I’m missing But we ain’t doing no cuffing We ain’t doing no cuffing We ain’t doing no cuffing We ain’t doing no cuffing  [Verse 1: T-Wayne] We ain’t doing no cuffing over here We ain’t doing no cuffing over here All we do is get buckets over here All we do is get buckets over here Hit me on my line cause you looking kinda good baby I’ma hit you with the wood baby You got a boyfriend, I’m wishing that he would baby I just hop inside the stud baby I’m from the home of the Rangers I would never cuff a stranger Hit her with the cliffhanger Got her thinking I’ma hang her I don’t do it like them other guys All I ever wanted was a prize If shawty says she want to ride You can hop in a car and drive [Hook: T-Wayne] The same shit that you loving The same shit that I’m cutting The same shit that you kissing The same shit that I’m missing But we ain’t doing no cuffing We ain’t doing no cuffing We ain’t doing no cuffing We ain’t doing no cuffing  [Verse 2: Ty Dolla $ign] Oh, no cuffing, no cuffing Just a whole lot of drinking and smoking and cutting, yeah We party every weekend Told lil mama pull up and bring friends I got a fresh pound of OG Fuck these bitches, I be smoking with the homies No cuffing, it’s still fuck the police Told her touch it, told her suck it, no teeth Hit it from the back, said she love that All this money, yeah, she love that Other bad bitches, yeah, she love that Instagram likes, yeah, she love that Let her drive the foreign, yeah, she love that Say her man boring, she don’t want that Said you getting back together, now you back [Hook: T-Wayne] The same shit that you loving The same shit that I’m cutting The same shit that you kissing The same shit that I’m missing But we ain’t doing no cuffing We ain’t doing no cuffing We ain’t doing no cuffing We ain’t doing no cuffing",hip hop,Stuck on You,love,55,72,96,21,5,3,31,140,-12.97db,33,633
Onyx,2 Wrongs,"Bottomline, overall we gotta get this motherfucking cash! No doubt man, that's what I'm saying man Illuminati I heard they trying to really just hold shit down They trying to shut us down God! They trying to shut us down, cause we rock, on the low  [Hook] Two wrongs don't make it right but it damn sure make us even (7X)  [Verse 1: Fredro Starr] Fuck peace I want justice I’m a nigga with a gun and a right mind to bust this, fuck this I’m mad at the world hell, I got a vengeance My first offense I caught the life or death sentence The real black army’s in jail with no protection It’s killing me calling these facilities correction System that is getting us, come on my fellow prisoners Time to go to war, we’ll be dead if we stay listeners Time to get the tek and go step to the president U.S.G. citizens, fuck American resident And yeah I got a speech impediment I speak slang, for my niggas who got hanged {​*DJ cuts and scratches ""So throw ya gunz in the..""*}​ They say 'Throw Ya Gunz' was negative, I say fuck them They the ones who put the guns in the ghetto for destruction This is oppression, the deception, killing our own complexion What we need to do is point the guns in the right direction [Hook]  [Verse 2: Sonsee] Yo it’s only getting worse, I’m a burst in controverse And tell you where I’m from it’s the savage man they curse It’s the illest, biggest, experiment. What are we guinea pigs in the cages of the projects? Cause we the ones that’s feeling it They gave us guns and drugs and watch us bug and rub each other out So stop doing what they love Retaliate, it's time to get big and bombard And flip this shit like the Food of the Gods They say we got the animal mentality, show them the raw reality If you real, you ain’t mad at me But if you is, so the fuck what? Me and my peeps came to claim the brown man’s cut Which was really ours; this the hour, better do what I do fuck those nuclear powers that be We gotta form our own ground Dominate, infiltrate, and feel great til it burns down And when it burns, it’s going up in blazes We gotta do what we shoulda fucking did since the dark ages  [Hook]  [Verse 3: Sticky Fingaz] I have a dream, that I must reveal So I pinch myself to make sure it's real First we gotta destroy and then rebuild Even if it mean that I'mma get myself killed Don't make me no difference, I done wrote my will And talk about what they did to us is dumb What we need to be talking about is what we gonna do to them I’ll get revenge if it’s the last thing I do When I start speaking in tongues the Holy Ghost couldn’t save you So do you want answers? Yeah I want answers, and I want the truth You want the truth? You couldn’t handle the truth Cause they got us brainwashed so we the minority But when we kill em off we gonna be the majority Preach on See I was raised to fight for what I believe in I won’t forget, can’t forget, I’m trying to get even And if the whites speak up, then I'll lead my people Cause two wrongs don't make it right, but it damn sure make us equal I'm inciting riots, so let's start the looting And whoever cross the walls I guess we'll just got to shoot them Cause in this revolution I loathe my enemy I'm agnostic plus I got no identity So lovers of life don't keep your hopes up high (WHY?) Cause it's just a matter of time before it's your turn to die But until then, when you stop breathing It's time to stand up and fight for what you believe in!!!!! [Hook]",hip hop,All We Got Iz Us,anger,76,77,77,4,0,39,9,94,-7.19db,19,634
The Killers,Fire In Bone,"[Intro] (Fire in bone) I felt fire in bone (Fire in bone) I felt fire in bone (Fire in bone)  [Verse 1] I felt cast out I felt eighty-sixed I felt darkness But I felt fire in bone I felt no good I felt lowdown And I felt alone I felt unknown  [Refrain] I felt fire in bone I felt fire in bone (Wrongly accused and disowned) I felt fire in bone [Verse 2] I felt big time I felt major league I felt weird sin I felt fire in bone I felt ripped off Run down, wrung out Empty, unseen And preyed upon  [Refrain] I felt fire in bone I felt fire in bone  [Chorus] When I came back empty-handed You were waiting in the road And you fell on my neck And you took me back home After all that I took from you After all that I put you through Here I am  [Post-Chorus] I felt fire in bone [Verse 3] I felt washed up I felt tempest-tossed and seasick But I felt fire in bone I felt mislead I felt chained up, unclean, unknown I felt unknown  [Refrain] I felt fire in bone I felt fire in bone  [Chorus] And they say no one's gonna save you You gotta make it on your own But I called from the dark And you picked up the phone On my back in the raging blue I looked up, and you cut right through And when I came back empty-handed You met me in the road And you fell on my neck And you took me back home After all that I took from you After all that I put you through Here I am [Outro] Here I am Here I am Here I am","rock,synthpop,pop",Imploding The Mirage,anger,88,57,38,1,0,5,23,96,-3.74db,41,635
"The Belonging Co,Andrew Holt",Prize Live,[Verse 1] Little by little I'm seeing Your glory As I look into Your eyes Moment by moment I'm living to know You And I leave all else behind  [Pre-Chorus] In a world living upside down You turn it right side up You turn it right side up Nothing better than the love I've found I'm dancing in Your light I'm dancing in Your light  [Chorus] 'Cause nothing else can satisfy You are the prize You are the prize You’re all I want For my whole life You are the prize You are the prize [Turnaround] You are the prize  [Verse 2] Jesus forever I want Your presence What compares to who You are Nothing can stop me I'm chasing You only God I'm clinging to Your heart  [Pre-Chorus] In a world living upside down You turn it right side up You turn it right side up Nothing better than the love I've found I'm dancing in Your light I'm dancing in Your light  [Chorus] 'Cause nothing else can satisfy You are the prize You are the prize You’re all I want For my whole life You are the prize You are the prize [Turnaround] You are the prize You are the prize You are the prize You are the prize  [Bridge] I'll follow You anywhere You lead You are the treasure that I seek Jesus You're everything I need Woah  I'll follow You anywhere You lead You are the treasure that I seek Jesus You're everything I need Woah  [Chorus] 'Cause nothing else can satisfy You are the prize You are the prize You’re all I want For my whole life You are the prize You are the prize 'Cause nothing else can satisfy You are the prize You are the prize You’re all I want For my whole life You are the prize You are the prize  [Turnaround] You are the prize You are the prize You are the prize You are the prize,hip hop,Awe + Wonder (Live),joy,92,58,58,0,0,4,87,123,-5.96db,24,636
Robyn Hitchcock,My Wife and My Dead Wife,"[Verse 1] My wife lies down in a chair and peels a pear I know she's there I'm making coffee for two just me and you But I come back in with coffee for three Coffee for three?  [Verse 2] My dead wife sits in a chair combing her hair I know she's there She wanders off to the bed shaking her head ""Robyn she said, yYou know I don't take sugar!""  [Chorus] My wife and my dead wife Am I the only one that sees her? My wife and my dead wife Doesn't anybody see her at all? No, no no, no, no no no no  [Verse 3] My wife sits down on the stairs and stares into air There's no one there I'm drilling holes in the wall, holes in the wall I turn round and my dead wife's upstairs she's still wearing flares She talks out loud but no one hears [Chorus] My wife and my dead wife Am I the only one that sees her? My wife and my dead wife Doesn't anybody see her at all? No, no no, no, no no no no  [Bridge] And I can't decide which one I love the most The flesh and blood or the pale, smiling ghost  [Verse 4] My wife lies down on the beach she's sucking a peach She's out of reach Of the waves that crash on the sand where my dead wife stands Holding my hand  [Verse 5] Now my wife can't swim but neither could she And deep in the sea she's waiting for me Oh, I'm such a lucky guy 'Cause I've got you baby and I'll never be lonely  [Chorus] My wife and my dead wife Am I the only one that sees her? My wife and my dead wife Doesn't anybody see her at all? No, no no, no, no no no no [Outro] No, no no, no, no no no no My wife and my dead wife Am I the only one that sees her? My wife and my dead wife Doesn't anybody see her at all?  My wife and my dead wife Am I the only one that sees her? My wife and my dead wife Doesn't anybody see her at all?","folk,country",The Man Upstairs,sadness,23,70,25,92,1,4,34,114,-12.32db,35,637
Jenny Morris,This Is The Chorus,"[Intro] Chorus  [Verse 1] This is a disco hit And writing four every week is our own claim to fame Though they may be sure to get you dancing You don't seem to mind if they all sound the same  [Pre-Chorus] And we don't care what the words are about If the beat is right then our success will grow And on and on we'll keep churning them out 'Cause we put the S in ""hit"", you know  [Chorus] This is the chorus, this is the chorus It goes round and around and gets into your brain This is the chorus, a fabulous chorus And 30 seconds from now, you're gonna hear it again [Verse 2] We meet up each day And write dozens of songs until Neighbours begins See that girl we could be producing We should be so lucky, that's all she sings  [Pre-Chorus] Call us derivative, you may be right People who rate us, they're bizarre But you can't moan, 'cause the songs that we write Are as original as Andrew Lloyd Webber's are  [Chorus] And this is the chorus, this is the chorus It goes round and around and gets into your brain This is the chorus, a fabulous chorus And 30 seconds from now, you're gonna hear it again  [Bridge] F, L, M Fun, love, and monotony This isn't the chorus (chorus) It's coming up soon though  [Pre-Chorus] We don't care what girl sings our lines Just as long as she is delectable And you may say our success is a crime But it ain't ever gonna be detectable (detectable) [Chorus] And this is the chorus, this is the chorus It goes round and around and gets into your brain This is the chorus, a fabulous chorus And in a second from now, you're gonna hear it again  [Chorus] This is the key change, this is the key change It's a standard device to stop us sounding mundane This is the key change, a fabulous key change But we've done it the once, so we won't do it again  [Chorus] This is the chorus, this is the chorus It goes round and around and gets into your brain This is the chorus, a fabulous chorus And if you're lucky, lucky, lucky, you won't hear it again",hip hop,Body & Soul,joy,79,62,79,0,0,3,20,127,-7.72db,28,638
Vicetone,I Hear You,"[Hook] (Hey!) I hear you, I-I hear you calling I hear you, I-I hear you calling I hear you, I-I hear you calling I hear you, I-I hear you (hear you)  [Pre-Drop] I hear you, I-I hear you (Hey!)  [Drop] (Hey!) I hear you, I hear you (Hey!)  [Post-Drop] I hear you, I-I hear you calling I hear you, I-I hear you (Hey!) [Hook] I hear you, I-I hear you calling I hear you, I-I hear you calling I hear you, I-I hear you calling I hear you, I-I hear you, (hear you) (Hey!)  [Pre-Drop] I hear you, I-I hear you (Hey!)  [Drop] (Hey!) I hear you, I hear you  I hear you, I hear you (Hey!)","dance,house",I Hear You,joy,75,54,42,23,0,7,12,118,-3.09db,36,639
L.A.B.,Give Love A Try,"[Verse 1] You, you're like driving on a Sunday You, you're like taking off on Monday You, you're like a dream, a dream come true I was just a face you never notice Now I'm just trying to be honest With myself, with you, with the world  [Chorus] You might think that I'm a fool For falling over you So tell me what can I do to prove to you That it's not so hard to do? Give love a try, one more time 'Cause you know that I'm on your side Give love a try, one more time  [Verse 2] How did it play out like a movie Now every time you speak it moves me And I can't get your smile off my mind And your eyes, when I saw 'em for the first time Knew that I was gonna love you for a long time With a love so real, so right [Chorus] Well, you might think that I'm a fool For falling over you So tell me what I can do to prove to you That it's not so hard to do? Give love a try, one more time 'Cause you know that I'm on your side Give love a try, one more time One more time","reggae,funk,blues",L.A.B VI,joy,54,78,68,29,1,3,11,90,-7.95db,48,640
